year,current_account_balance,exports,fdi_inflows,imports,personal_remittances,total_external_debt,debt_growth_rate,trade_deficit,economic_era_cluster
2002,739250272.000126,6941782608.39971,52304931.038967,9441855805.72043,2858057770.42652,16687587182.1,0.11408020051113943,2500073197.3207207,0
2003,131637632.009357,7984802607.16541,268285231.831688,11431227764.563,3191664732.05594,18440377575.4,0.10503557969004285,3446425157.3975897,0
2004,-278679383.745514,9219984982.1651,448905400.707684,13446206767.3172,3583817227.52373,19714073691.8,0.06907104321438329,4226221785.1520996,0
2005,-173741535.952961,10668033942.2202,813321971.875195,15615940998.1694,4314502845.76467,18503086016.3,-0.0614275717151096,4947907055.9492,0
2006,1196063083.00571,13064944732.013,456523167.703824,17801946033.0814,5427515428.7338,20160932717.1,0.08959838911949847,4737001301.068401,0
2007,856792635.005175,14334394905.476,651029738.054822,20765264113.3539,6562316321.90849,21523544177.4,0.06758672723233028,6430869207.877901,0
2008,926185438.562718,17687393265.7426,1328422986.5175,26378962124.8588,8940611606.37692,23346917708.3,0.08471530134031391,8691568859.1162,0
2009,3556126394.04663,17082688770.8272,901286583.13086,24507328507.6505,10520653005.6388,25377795050.4,0.08698695765642794,7424639736.823301,0
2010,2108502536.74166,21764077876.4401,1232258246.59254,31034874410.2694,10850211617.3056,26571755072.0,0.047047429425165044,9270796533.8293,1
2011,-161842538.678824,27147928001.3127,1264725163.33408,39552695273.8532,12071073184.1575,27046084648.2,0.01785089373715576,12404767272.540504,1
2012,2575500680.61049,27768035486.5528,1584403459.98465,39740482108.9667,14119627033.9853,29155976742.1,0.07801099942354939,11972446622.413898,1
2013,2058473420.43086,31767533486.4156,2602962095.36816,44208435661.6417,13866954019.3967,32454687016.8,0.11314010516193074,12440902175.2261,1
2014,755790761.66014,33138217973.1849,2539190939.6837,47985052372.4836,14987531478.7427,35270692354.7,0.08676729300893604,14846834399.298698,1
2015,2579621008.7762,35107953649.4787,2831152765.15514,48297626955.8469,15295536094.8351,38770937144.2,0.09923946925395621,13189673306.368202,1
2016,931393867.987116,37756801960.699,2332724780.71107,50948491328.485,13574285886.2472,41569252897.7,0.07217560264515344,13191689367.786003,1
2017,-5984992475.63151,39281430149.3669,1810395803.56746,59268104067.9027,13501933032.7096,51068283464.6,0.22851097637661844,19986673918.535805,1
2018,-7095172568.14977,44518232859.6161,2421626238.43716,67710074715.3028,15566241930.3078,57125459320.6,0.11860934899444531,23191841855.686707,1
2019,-2948537074.51493,45143332661.7344,1908045387.02684,66963788016.4454,18363859531.2811,62468325028.8,0.09352862579563226,21820455354.711,1
2020,1192771686.32568,38693585662.5986,1525312160.40492,59835136507.3615,21751646479.1934,73550857817.1,0.177410436140085,21141550844.7629,1
2021,-15775415833.0742,49625878882.3326,1723856464.12345,88070789359.3272,22205503377.1199,91477590071.6,0.24373247011039179,38444910476.99459,2
2022,-14437645294.5494,60494519966.4452,1601074338.25183,96850113683.3775,21505473781.2512,96944431751.0,0.05976154023210567,36355593716.932304,2
2023,4387571900.12179,59346626776.7799,1484418066.45822,77501889185.137,22070041063.2115,101370771740.3,0.04565852735790932,18155262408.357094,1
2024,1434553195.37687,55234026095.1056,1314541323.36924,81398218425.737,27524564108.9817,104486886261.1,0.030739773085511457,26164192330.6314,1
