PCODE,dry,monsoon,post-monsoon,pre-monsoon,cluster
BD3082,102.26172100246913,100.11810371614814,101.88528367407409,104.30547187990196,1
BD3086,101.94798372098765,101.95430362222223,103.0459404,102.93735151225489,1
BD3093,101.12717762469136,101.1207334674074,102.25364754074073,102.23791999754903,0
BD40,102.46677701481482,99.53634194666667,100.2283688888889,103.17538038480392,1
BD4001,102.6790901308642,99.73051865333333,99.9171879851852,101.04455100735294,1
BD4018,102.33355272098765,99.42093453570371,99.70431953333332,104.95654201470587,1
BD4041,102.9017418345679,99.51562272977777,100.16359958518518,105.09866516421569,1
BD4044,102.65561484938272,99.67738334666666,101.37642417777778,105.28340372058824,1
BD4047,102.61151966419753,99.36741779481481,100.46215547407408,101.84278065686274,1
BD4050,101.26726305925926,99.77535930962964,100.03801691851852,104.17892400490196,1
BD4055,102.70055543209877,99.7746773111111,101.13084768888889,104.64935949019608,1
BD4057,101.25923548641975,99.44472320962963,99.23206471851853,104.14956691176471,1
BD4065,102.32457061728395,100.15378658074074,100.07596200000002,103.14433515686274,1
BD4087,102.6183199580247,99.1878520651852,100.13310178518518,102.4735829632353,1
BD45,100.69323314320988,100.05363512296296,101.84057083703703,101.92345880147059,0
BD4539,101.04138256049383,101.12424623037037,101.38747342222221,102.57051900490195,2
BD4561,100.73929722469136,99.7937149525926,102.24809176296296,101.46062291666668,0
BD4572,100.22305403456791,99.5737576642963,102.12942226666668,101.7691186372549,0
BD4589,101.07937907901234,100.92817864518518,100.35711415555555,103.26783349019607,2
BD50,101.5622289037037,101.7501602362963,100.6949787111111,103.0848508259804,2
BD5010,102.06924574074074,101.59114746074074,100.97316444444445,102.45556375245098,1
BD5038,101.42909806913579,102.74599406814815,101.01285616296296,102.3507199362745,2
BD5064,101.37175080493827,103.30365654518519,100.51624595555556,103.16864651470588,2
BD5069,101.30018364691358,100.91337284592593,100.46044062962963,103.64477302941177,2
BD5070,101.25472342962962,102.89441978444444,100.11425193333334,103.49108448529412,2
BD5076,101.65021119012346,100.31295855200001,100.4747422074074,103.45432468504902,1
BD5081,101.17542464691358,102.05927966074074,100.48625957777777,104.3310031102941,2
BD5088,101.99800441481482,100.68885512148148,101.47747295555556,102.65788590931372,1
BD55,101.28567377037037,103.25954593851851,100.76495520740741,103.63902968872549,2
BD5527,100.90346931604938,104.18492946518519,100.65969312592591,103.06872723284313,2
BD5532,101.78152547160494,101.7032532731852,100.78113622962964,102.77825838970588,2
BD5549,101.07439959506172,101.230872052,100.80171750370371,103.16885440686275,2
BD5552,101.56986039259259,103.64549306444444,100.82607614814813,104.37879662254902,2
BD5573,101.17860238271605,104.15676508296296,100.70670084444444,105.1485985122549,2
