year,month,PCODE,division,rfh_monthly,rfh_avg_monthly,rfq_mean,r1h_monthly,r3h_monthly,rice_usd_per100kg,flour_usd_per100kg,palmoil_usd_per100kg,ext_debt_total_usd,ext_debt_pct_gni,debt_service_pct_exports
2014,2,BD60,Sylhet,14.8735886,8.585678833333334,72.83963133333333,34.9255073,22.394281333333335,0.43,0.5,1.08,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD10,Barisal,79.0611337,16.542582,83.12681500000001,150.581296,40.819059333333335,0.43,0.46,1.07,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD20,Chittagong,39.8068493,16.927381333333333,85.24185,74.792577,38.44814433333334,0.43,0.48,1.04,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD30,Dhaka,44.002762,19.423818,82.54719333333334,86.222374,44.61141933333334,0.44,0.48,1.0,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD40,Khulna,26.6730517,12.672837433333333,79.22116666666666,60.682629,39.98814333333333,0.42,0.47,0.98,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD45,Mymensingh,33.08971,17.215039666666666,77.77689066666666,76.622692,43.11609333333333,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD50,Rajshahi,17.097523199999998,9.224423833333333,80.541995,52.154798,36.73839066666667,0.42,0.46,0.99,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD55,Rangpur,13.2654109,9.366571566666666,73.92744166666667,41.261986,28.281964,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,3,BD60,Sylhet,74.507901,39.48435,72.43847333333333,142.404067,64.10383733333333,0.43,0.5,1.1,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD10,Barisal,46.6693012,36.8592905,31.2088085,216.83056299999998,73.13987666666667,0.44,0.46,1.07,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD20,Chittagong,43.576594,43.162226000000004,39.782473333333336,138.01237,79.322238,0.49,0.48,1.04,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD30,Dhaka,71.883978,49.21579333333333,53.78295833333334,213.60912,111.16620633333332,0.44,0.48,1.03,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD40,Khulna,22.3844044,24.478598333333334,43.56399966666667,82.57182,62.788416000000005,0.43,0.46,0.99,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD45,Mymensingh,102.277047,58.70340133333334,64.17998233333333,269.989454,128.13632666666666,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD50,Rajshahi,28.9318884,24.087564999999998,51.38664533333333,76.679568,57.191434333333326,0.41,0.47,1.0,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD55,Rangpur,32.3339054,34.23382833333333,40.000211666666665,68.16095899999999,46.16323966666667,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,4,BD60,Sylhet,189.200905,112.07489,59.374888999999996,499.51468,225.61474666666666,0.43,0.49,1.11,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD10,Barisal,320.345189,84.7803975,63.72389933333333,591.010262,159.73702166666666,0.43,0.46,1.07,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD20,Chittagong,243.53854,101.23712666666667,83.579836,525.0361700000001,245.94703333333334,0.48,0.48,1.07,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD30,Dhaka,238.560772,93.88258333333333,81.15828866666666,446.606358,248.81260666666665,0.44,0.48,1.08,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD40,Khulna,147.611493,57.69456,80.62569,248.991803,130.74874833333334,0.42,0.46,1.01,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD45,Mymensingh,367.25067,132.60428,86.62967200000001,652.07127,332.89447,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD50,Rajshahi,155.526319,61.609544666666665,78.25276233333334,251.934987,126.92311333333333,0.41,0.46,1.05,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD55,Rangpur,288.238016,99.14111166666667,90.73205133333333,498.70033,202.70776666666666,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,5,BD60,Sylhet,629.39054,193.22137,113.6846,1522.18737,721.3686666666666,0.43,0.49,1.12,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD10,Barisal,1159.112004,148.05747333333332,121.57138416666668,2123.08138,488.48704333333336,0.44,0.46,1.17,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD20,Chittagong,768.8240000000001,186.69703,133.73540566666668,1526.88868,729.97906,0.44,0.47,1.1,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD30,Dhaka,382.37293,111.77923666666668,110.83117499999999,977.58978,545.9350933333334,0.43,16.48,1.08,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD40,Khulna,346.523935,99.46610533333335,111.06230666666666,776.43776,369.33378999999996,0.41,0.46,1.05,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD45,Mymensingh,518.3562,155.70759,108.99321666666667,1445.6675,789.24275,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD50,Rajshahi,341.07895,91.82065833333333,116.86017666666667,794.91952,374.51133,0.41,0.45,1.05,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD55,Rangpur,453.22945000000004,149.45222333333334,102.70352333333334,1294.06166,620.3076666666666,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,6,BD60,Sylhet,742.93226,227.18068333333335,108.54048999999999,1941.65905,1321.1203666666668,0.4,0.5,1.17,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD10,Barisal,912.10881,182.04137,83.87841933333333,3596.81872,1051.8183900000001,0.44,0.46,1.15,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD20,Chittagong,528.03044,216.98833666666667,81.26252166666667,2046.10376,1366.0094666666666,0.44,0.47,1.08,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD30,Dhaka,280.078735,127.98850333333333,73.94451333333335,1074.29286,832.8296833333334,0.43,0.47,1.06,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD40,Khulna,326.742816,124.36915666666665,87.99097466666667,1199.751,741.7268833333334,0.41,0.46,1.03,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD45,Mymensingh,364.65172,158.60448666666667,76.94873766666666,1447.67816,1181.8055666666667,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD50,Rajshahi,224.371521,113.26965833333334,66.28227833333334,998.4087000000001,681.75442,0.41,0.45,1.02,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD55,Rangpur,334.26198999999997,160.13656666666665,70.37200133333333,1169.0103199999999,987.2573666666667,,,,35270692354.7,19.1263744321957,6.13466573895137
2014,7,BD60,Sylhet,696.29798,209.14890666666668,110.73150133333333,2262.78561,1908.8774,0.42,0.49,1.15,35270692354.7,19.1263744321957,6.13466573895137
2014,8,BD10,Barisal,923.3080199999999,139.8697566666667,107.853462,2637.81077,1392.9517833333332,0.45,0.46,1.02,35270692354.7,19.1263744321957,6.13466573895137
2014,8,BD20,Chittagong,542.3843899999999,161.75589333333332,111.047985,1595.4881,1722.8267666666668,0.46,0.47,1.06,35270692354.7,19.1263744321957,6.13466573895137
2014,8,BD30,Dhaka,352.43095,104.15844133333333,110.13846833333332,896.10502,982.6625666666665,0.44,0.47,1.02,35270692354.7,19.1263744321957,6.13466573895137
